,reward
0,-7190.28
1,-0.27
2,-2.2
3,-6.86
4,-7.95
5,-5.86
6,-3.04
7,-1.02
8,-0.17
9,-0.0
10,-0.01
11,-0.05
12,-0.4
13,-1.36
14,-2.8
15,-4.48
16,-5.7
17,-6.08
18,-5.78
19,-4.66
20,-3.6
21,-2.79
22,-2.43
23,-2.51
24,-2.98
25,-3.81
26,-4.78
27,-5.66
28,-5.91
29,-6.11
30,40.7
31,42.32
32,45.46
33,54.78
34,53.1
35,60.87
36,64.02
37,67.45
38,66.15
39,69.06
40,68.13
41,72.21
42,70.66
43,74.71
44,73.72
45,75.59
46,75.38
47,72.6
48,74.57
49,73.97
50,73.15
51,76.36
52,74.17
53,-18.54
54,70.23
55,72.16
56,67.62
57,56.6
58,43.13
59,47.11
